Equipment ID,Equipment Type,Channel ID,Host Name,Mac Address,IP Address,DHCP,Boot Server,Responsible
SR-PC-BEND-RKA01A01-01,Hazemeyer 750/600 DC BEND,REM,dsrpc0100,,10.0.11.71,NO,NO,LKrause
SR-PC-QH01-RKA01C05-01,HAZEMEYER 15-200 DC QH01,REM,dsrpc0101,,10.0.11.20,NO,NO,LKrause
SR-PC-QH01-RKA04B06-01,HAZEMEYER 15-200 DC QH01,REM,dsrpc0401,,10.0.14.19,NO,NO,LKrause
SR-PC-QH01-RKA05A05-01,HAZEMEYER 15-200 DC QH01,REM,dpcsr05qh01,,10.0.15.5,NO,NO,LKrause
SR-PC-QH01-RKA08D02-01,HAZEMEYER 15-200 DC QH01,REM,dsrpc0801,,10.0.18.12,NO,NO,LKrause
SR-PC-QH01-RKA09A05-01,HAZEMEYER 15-200 DC QH01,REM,dsrpc0901,,10.0.19.28,NO,NO,LKrause
SR-PC-QH01-RKA12C02-01,HAZEMEYER 15-200 DC QH01,REM,dsrpc1201,,10.0.22.14,NO,NO,LKrause
SR-PC-QH01-RKA13A05-01,HAZEMEYER 15-200 DC QH01,REM,dsrpc1301,,10.0.23.8,NO,NO,LKrause
SR-PC-QH01-RKA15D05-01,HAZEMEYER 15-200 DC QH01,REM,dpcsr15qh01,00:04:25:00:12:81,10.0.25.15,NO,NO,LKrause
SR-PC-QH02-RKA01C05-01,HAZEMEYER 15-200 DC QH02,REM,dsrpc0102,,10.0.11.23,NO,NO,LKrause
SR-PC-QH02-RKA04B06-01,HAZEMEYER 15-200 DC QH02,REM,dsrpc0402,,10.0.14.22,NO,NO,LKrause
SR-PC-QH02-RKA05A05-01,HAZEMEYER 15-200 DC QH02,REM,dpcsr05qh02,,10.0.15.8,NO,NO,LKrause
SR-PC-QH02-RKA08D02-01,HAZEMEYER 15-200 DC QH02,REM,dsrpc0802,,10.0.18.15,NO,NO,LKrause
SR-PC-QH02-RKA09A05-01,HAZEMEYER 15-200 DC QH02,REM,dsrpc0902,,10.0.19.31,NO,NO,LKrause
SR-PC-QH02-RKA12C02-01,HAZEMEYER 15-200 DC QH02,REM,dsrpc1202,,10.0.22.17,NO,NO,LKrause
SR-PC-QH02-RKA13A05-01,HAZEMEYER 15-200 DC QH02,REM,dsrpc1302,,10.0.23.11,NO,NO,LKrause
SR-PC-QH02-RKA15D05-01,HAZEMEYER 15-200 DC QH02,REM,dpcsr15qh02,00:04:25:00:12:8D,10.0.25.18,NO,NO,LKrause
SR-PC-QH03-RKA01C05-01,HAZEMEYER 15-200 DC QH03,REM,dsrpc0103,,10.0.11.26,NO,NO,LKrause
SR-PC-QH03-RKA04B06-01,HAZEMEYER 15-200 DC QH03,REM,dsrpc0403,,10.0.14.25,NO,NO,LKrause
SR-PC-QH03-RKA05A05-01,HAZEMEYER 15-200 DC QH03,REM,dpcsr05qh03,,10.0.15.11,NO,NO,LKrause
SR-PC-QH03-RKA08D02-01,HAZEMEYER 15-200 DC QH03,REM,dsrpc0803,,10.0.18.18,NO,NO,LKrause
SR-PC-QH03-RKA09A05-01,HAZEMEYER 15-200 DC QH03,REM,dsrpc0903,,10.0.19.34,NO,NO,LKrause
SR-PC-QH03-RKA12C02-01,HAZEMEYER 15-200 DC QH03,REM,dsrpc1203,,10.0.22.20,NO,NO,LKrause
SR-PC-QH03-RKA13A05-01,HAZEMEYER 15-200 DC QH03,REM,dsrpc1303,,10.0.23.14,NO,NO,LKrause
SR-PC-QH03-RKA15D05-01,HAZEMEYER 15-200 DC QH03,REM,dpcsr15qh03,00:04:25:00:12:46,10.0.25.21,NO,NO,LKrause
SR-PC-QH04-RKA01C05-01,HAZEMEYER 15-200 DC QH04,REM,dsrpc0104,,10.0.11.29,NO,NO,LKrause
